v4_0,time,time,uk_only,geography,cpih1dim1,aggregate
106.9,Month,Nov-18,K02000001,United Kingdom,cpih1dim1A0,Overall Index
106.7,Month,Oct-18,K02000001,United Kingdom,cpih1dim1A0,Overall Index
106.6,Month,Sep-18,K02000001,United Kingdom,cpih1dim1A0,Overall Index
106.5,Month,Aug-18,K02000001,United Kingdom,cpih1dim1A0,Overall Index
105.9,Month,Jul-18,K02000001,United Kingdom,cpih1dim1A0,Overall Index
105.9,Month,Jun-18,K02000001,United Kingdom,cpih1dim1A0,Overall Index
105.9,Month,May-18,K02000001,United Kingdom,cpih1dim1A0,Overall Index
105.5,Month,Apr-18,K02000001,United Kingdom,cpih1dim1A0,Overall Index
105.1,Month,Mar-18,K02000001,United Kingdom,cpih1dim1A0,Overall Index
104.9,Month,Feb-18,K02000001,United Kingdom,cpih1dim1A0,Overall Index
104.5,Month,Jan-18,K02000001,United Kingdom,cpih1dim1A0,Overall Index
105,Month,Dec-17,K02000001,United Kingdom,cpih1dim1A0,Overall Index
104.7,Month,Nov-17,K02000001,United Kingdom,cpih1dim1A0,Overall Index
104.4,Month,Oct-17,K02000001,United Kingdom,cpih1dim1A0,Overall Index
104.3,Month,Sep-17,K02000001,United Kingdom,cpih1dim1A0,Overall Index
104,Month,Aug-17,K02000001,United Kingdom,cpih1dim1A0,Overall Index
103.5,Month,Jul-17,K02000001,United Kingdom,cpih1dim1A0,Overall Index
103.5,Month,Jun-17,K02000001,United Kingdom,cpih1dim1A0,Overall Index
103.5,Month,May-17,K02000001,United Kingdom,cpih1dim1A0,Overall Index
103.2,Month,Apr-17,K02000001,United Kingdom,cpih1dim1A0,Overall Index
102.7,Month,Mar-17,K02000001,United Kingdom,cpih1dim1A0,Overall Index
102.4,Month,Feb-17,K02000001,United Kingdom,cpih1dim1A0,Overall Index
101.8,Month,Jan-17,K02000001,United Kingdom,cpih1dim1A0,Overall Index
102.2,Month,Dec-16,K02000001,United Kingdom,cpih1dim1A0,Overall Index
101.8,Month,Nov-16,K02000001,United Kingdom,cpih1dim1A0,Overall Index
101.6,Month,Oct-16,K02000001,United Kingdom,cpih1dim1A0,Overall Index
101.5,Month,Sep-16,K02000001,United Kingdom,cpih1dim1A0,Overall Index
101.2,Month,Aug-16,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100.9,Month,Jul-16,K02000001,United Kingdom,cpih1dim1A0,Overall Index
101,Month,Jun-16,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100.8,Month,May-16,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100.6,Month,Apr-16,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100.4,Month,Mar-16,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100.1,Month,Feb-16,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.9,Month,Jan-16,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100.4,Month,Dec-15,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100.3,Month,Nov-15,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100.3,Month,Oct-15,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100.2,Month,Sep-15,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100.3,Month,Aug-15,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100,Month,Jul-15,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100.1,Month,Jun-15,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100.1,Month,May-15,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.9,Month,Apr-15,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.6,Month,Mar-15,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.5,Month,Feb-15,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.2,Month,Jan-15,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.9,Month,Dec-14,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.9,Month,Nov-14,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100.1,Month,Oct-14,K02000001,United Kingdom,cpih1dim1A0,Overall Index
100,Month,Sep-14,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.9,Month,Aug-14,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.6,Month,Jul-14,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.8,Month,Jun-14,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.6,Month,May-14,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.6,Month,Apr-14,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.3,Month,Mar-14,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.1,Month,Feb-14,K02000001,United Kingdom,cpih1dim1A0,Overall Index
98.7,Month,Jan-14,K02000001,United Kingdom,cpih1dim1A0,Overall Index
99.2,Month,Dec-13,K02000001,United Kingdom,cpih1dim1A0,Overall Index
98.8,Month,Nov-13,K02000001,United Kingdom,cpih1dim1A0,Overall Index
98.8,Month,Oct-13,K02000001,United Kingdom,cpih1dim1A0,Overall Index
98.7,Month,Sep-13,K02000001,United Kingdom,cpih1dim1A0,Overall Index
98.4,Month,Aug-13,K02000001,United Kingdom,cpih1dim1A0,Overall Index
98,Month,Jul-13,K02000001,United Kingdom,cpih1dim1A0,Overall Index
98,Month,Jun-13,K02000001,United Kingdom,cpih1dim1A0,Overall Index
98.2,Month,May-13,K02000001,United Kingdom,cpih1dim1A0,Overall Index
98,Month,Apr-13,K02000001,United Kingdom,cpih1dim1A0,Overall Index
97.8,Month,Mar-13,K02000001,United Kingdom,cpih1dim1A0,Overall Index
97.5,Month,Feb-13,K02000001,United Kingdom,cpih1dim1A0,Overall Index
97,Month,Jan-13,K02000001,United Kingdom,cpih1dim1A0,Overall Index
97.3,Month,Dec-12,K02000001,United Kingdom,cpih1dim1A0,Overall Index
97,Month,Nov-12,K02000001,United Kingdom,cpih1dim1A0,Overall Index
96.8,Month,Oct-12,K02000001,United Kingdom,cpih1dim1A0,Overall Index
96.4,Month,Sep-12,K02000001,United Kingdom,cpih1dim1A0,Overall Index
96.1,Month,Aug-12,K02000001,United Kingdom,cpih1dim1A0,Overall Index
95.7,Month,Jul-12,K02000001,United Kingdom,cpih1dim1A0,Overall Index
95.6,Month,Jun-12,K02000001,United Kingdom,cpih1dim1A0,Overall Index
95.9,Month,May-12,K02000001,United Kingdom,cpih1dim1A0,Overall Index
95.9,Month,Apr-12,K02000001,United Kingdom,cpih1dim1A0,Overall Index
95.4,Month,Mar-12,K02000001,United Kingdom,cpih1dim1A0,Overall Index
95.2,Month,Feb-12,K02000001,United Kingdom,cpih1dim1A0,Overall Index
94.7,Month,Jan-12,K02000001,United Kingdom,cpih1dim1A0,Overall Index
95,Month,Dec-11,K02000001,United Kingdom,cpih1dim1A0,Overall Index
94.7,Month,Nov-11,K02000001,United Kingdom,cpih1dim1A0,Overall Index
94.5,Month,Oct-11,K02000001,United Kingdom,cpih1dim1A0,Overall Index
94.5,Month,Sep-11,K02000001,United Kingdom,cpih1dim1A0,Overall Index
93.9,Month,Aug-11,K02000001,United Kingdom,cpih1dim1A0,Overall Index
93.5,Month,Jul-11,K02000001,United Kingdom,cpih1dim1A0,Overall Index
93.5,Month,Jun-11,K02000001,United Kingdom,cpih1dim1A0,Overall Index
93.5,Month,May-11,K02000001,United Kingdom,cpih1dim1A0,Overall Index
93.3,Month,Apr-11,K02000001,United Kingdom,cpih1dim1A0,Overall Index
92.6,Month,Mar-11,K02000001,United Kingdom,cpih1dim1A0,Overall Index
92.3,Month,Feb-11,K02000001,United Kingdom,cpih1dim1A0,Overall Index
91.8,Month,Jan-11,K02000001,United Kingdom,cpih1dim1A0,Overall Index
91.7,Month,Dec-10,K02000001,United Kingdom,cpih1dim1A0,Overall Index
90.9,Month,Nov-10,K02000001,United Kingdom,cpih1dim1A0,Overall Index
90.6,Month,Oct-10,K02000001,United Kingdom,cpih1dim1A0,Overall Index
90.4,Month,Sep-10,K02000001,United Kingdom,cpih1dim1A0,Overall Index
90.4,Month,Aug-10,K02000001,United Kingdom,cpih1dim1A0,Overall Index
90,Month,Jul-10,K02000001,United Kingdom,cpih1dim1A0,Overall Index
90.2,Month,Jun-10,K02000001,United Kingdom,cpih1dim1A0,Overall Index
90.1,Month,May-10,K02000001,United Kingdom,cpih1dim1A0,Overall Index
89.9,Month,Apr-10,K02000001,United Kingdom,cpih1dim1A0,Overall Index
89.4,Month,Mar-10,K02000001,United Kingdom,cpih1dim1A0,Overall Index
89,Month,Feb-10,K02000001,United Kingdom,cpih1dim1A0,Overall Index
88.8,Month,Jan-10,K02000001,United Kingdom,cpih1dim1A0,Overall Index
88.9,Month,Dec-09,K02000001,United Kingdom,cpih1dim1A0,Overall Index
88.6,Month,Nov-09,K02000001,United Kingdom,cpih1dim1A0,Overall Index
88.4,Month,Oct-09,K02000001,United Kingdom,cpih1dim1A0,Overall Index
88.3,Month,Sep-09,K02000001,United Kingdom,cpih1dim1A0,Overall Index
88.3,Month,Aug-09,K02000001,United Kingdom,cpih1dim1A0,Overall Index
88,Month,Jul-09,K02000001,United Kingdom,cpih1dim1A0,Overall Index
88.1,Month,Jun-09,K02000001,United Kingdom,cpih1dim1A0,Overall Index
87.9,Month,May-09,K02000001,United Kingdom,cpih1dim1A0,Overall Index
87.5,Month,Apr-09,K02000001,United Kingdom,cpih1dim1A0,Overall Index
87.3,Month,Mar-09,K02000001,United Kingdom,cpih1dim1A0,Overall Index
87.2,Month,Feb-09,K02000001,United Kingdom,cpih1dim1A0,Overall Index
86.6,Month,Jan-09,K02000001,United Kingdom,cpih1dim1A0,Overall Index
87.1,Month,Dec-08,K02000001,United Kingdom,cpih1dim1A0,Overall Index
87.3,Month,Nov-08,K02000001,United Kingdom,cpih1dim1A0,Overall Index
87.3,Month,Oct-08,K02000001,United Kingdom,cpih1dim1A0,Overall Index
87.5,Month,Sep-08,K02000001,United Kingdom,cpih1dim1A0,Overall Index
87.1,Month,Aug-08,K02000001,United Kingdom,cpih1dim1A0,Overall Index
86.6,Month,Jul-08,K02000001,United Kingdom,cpih1dim1A0,Overall Index
86.6,Month,Jun-08,K02000001,United Kingdom,cpih1dim1A0,Overall Index
86.1,Month,May-08,K02000001,United Kingdom,cpih1dim1A0,Overall Index
85.6,Month,Apr-08,K02000001,United Kingdom,cpih1dim1A0,Overall Index
84.9,Month,Mar-08,K02000001,United Kingdom,cpih1dim1A0,Overall Index
84.6,Month,Feb-08,K02000001,United Kingdom,cpih1dim1A0,Overall Index
84.1,Month,Jan-08,K02000001,United Kingdom,cpih1dim1A0,Overall Index
84.5,Month,Dec-07,K02000001,United Kingdom,cpih1dim1A0,Overall Index
84.1,Month,Nov-07,K02000001,United Kingdom,cpih1dim1A0,Overall Index
83.8,Month,Oct-07,K02000001,United Kingdom,cpih1dim1A0,Overall Index
83.5,Month,Sep-07,K02000001,United Kingdom,cpih1dim1A0,Overall Index
83.4,Month,Aug-07,K02000001,United Kingdom,cpih1dim1A0,Overall Index
83.1,Month,Jul-07,K02000001,United Kingdom,cpih1dim1A0,Overall Index
83.5,Month,Jun-07,K02000001,United Kingdom,cpih1dim1A0,Overall Index
83.3,Month,May-07,K02000001,United Kingdom,cpih1dim1A0,Overall Index
83.1,Month,Apr-07,K02000001,United Kingdom,cpih1dim1A0,Overall Index
82.8,Month,Mar-07,K02000001,United Kingdom,cpih1dim1A0,Overall Index
82.4,Month,Feb-07,K02000001,United Kingdom,cpih1dim1A0,Overall Index
82.1,Month,Jan-07,K02000001,United Kingdom,cpih1dim1A0,Overall Index
82.6,Month,Dec-06,K02000001,United Kingdom,cpih1dim1A0,Overall Index
82.2,Month,Nov-06,K02000001,United Kingdom,cpih1dim1A0,Overall Index
82,Month,Oct-06,K02000001,United Kingdom,cpih1dim1A0,Overall Index
81.9,Month,Sep-06,K02000001,United Kingdom,cpih1dim1A0,Overall Index
81.8,Month,Aug-06,K02000001,United Kingdom,cpih1dim1A0,Overall Index
81.5,Month,Jul-06,K02000001,United Kingdom,cpih1dim1A0,Overall Index
81.5,Month,Jun-06,K02000001,United Kingdom,cpih1dim1A0,Overall Index
81.3,Month,May-06,K02000001,United Kingdom,cpih1dim1A0,Overall Index
80.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1A0,Overall Index
80.4,Month,Mar-06,K02000001,United Kingdom,cpih1dim1A0,Overall Index
80.2,Month,Feb-06,K02000001,United Kingdom,cpih1dim1A0,Overall Index
80,Month,Jan-06,K02000001,United Kingdom,cpih1dim1A0,Overall Index
80.3,Month,Dec-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
80,Month,Nov-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
80,Month,Oct-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
79.9,Month,Sep-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
79.7,Month,Aug-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
79.5,Month,Jul-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
79.4,Month,Jun-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
79.4,Month,May-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
79.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
78.8,Month,Mar-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
78.5,Month,Feb-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
78.3,Month,Jan-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
101.7,Month,Nov-18,K02000001,United Kingdom,cpih1dim1T10000,01 Food and non-alcoholic beverages
101.5,Month,Oct-18,K02000001,United Kingdom,cpih1dim1T10000,01 Food and non-alcoholic beverages
101.8,Month,Sep-18,K02000001,United Kingdom,cpih1dim1T10000,01 Food and non-alcoholic beverages
101.9,Month,Aug-18,K02000001,United Kingdom,cpih1dim1T10000,01 Food and non-alcoholic beverages
101.7,Month,Jul-18,K02000001,United Kingdom,cpih1dim1T10000,01 Food and non-alcoholic beverages
101.5,Month,Jun-18,K02000001,United Kingdom,cpih1dim1T10000,01 Food and non-alcoholic beverages
101.9,Month,May-18,K02000001,United Kingdom,cpih1dim1T10000,01 Food and non-alcoholic beverages
